"","Estado","Fecha","IA_dia_1","IA_dia_2","IA_dia_3","IA_dia_4","IA_dia_5","IA_dia_6","IA_dia_7","IA_dia_8","IA_dia_9","IA_dia_10","IA_dia_11","IA_dia_12","IA_dia_13","IA_dia_14","IA_dia_15","IA_dia_16","IA_dia_17","IA_dia_18","IA_dia_19","IA_dia_20","IA_dia_21","IA_dia_22","IA_dia_23","IA_dia_24","IA_dia_25"
"1","Andalucia",2020-11-03,"343.000830181805","354.283363603209","374.249312799201","374.249312799201","374.249312799201","417.323780709609","451.643947818696","448.087882311008","486.554823483879","513.940072144417","513.940072144417","513.940072144417","615.943625610807","633.145058764278","626.115626946754","636.2876282827","648.007286035614","648.007286035614","648.007286035614","692.901136298793","658.580969189705","708.755753944368","704.668050736194","703.569332821858","703.569332821858"
"2","Catalonia",2020-10-30,"330.87937130863","330.87937130863","370.735529264972","394.38445884887","428.109888864169","462.824975171837","484.301801984171","484.301801984171","484.301801984171","605.888146475301","647.338036642731","693.157837711534","735.263214514171","768.487390043724","768.487390043724","768.487390043724","780.273296798308","817.507508213826","825.540432664878","836.349535806214","842.531674463744","842.531674463744","842.531674463744","765.068577397356","707.964124059714"
"3","Madrid",2020-11-05,"457.116695733027","457.116695733027","457.116695733027","438.679812999861","454.299540051399","453.517816223513","447.352522637542","435.774160281114","435.774160281114","435.774160281114","419.107218290332","400.596588026233","417.765013227357","401.658552471663","396.717467899175","396.717467899175","396.717467899175","388.236501841918","356.008830824344","367.483946637467","362.882100707268","356.171075392396","356.171075392396","356.171075392396","345.315438839108"
"4","Baden-Wurttemberg",2020-12-12,"301.558256246521","298.48874735768","297.733032403285","298.554056057443","297.714372774781","303.06035634106","306.316461514936","308.424999535842","312.044967465538","316.971109390486","328.222865378151","338.504320683629","348.403253604784","355.997722405745","363.14436012262","370.384295982013","381.869297325973","391.189781763516","402.114994252368","410.59579540725","420.000248173059","425.25293359682","431.046748247184","434.396151563579","437.6242672947"
"5","Bayern",2020-12-31,"443.274325079569","447.945943765857","450.530906105603","452.531916109563","452.018038054071","452.243832957242","445.259763021242","432.763183035422","421.909455620946","414.053350196839","417.549278180411","393.202358793707","405.294065160049","394.237900935834","370.350357386616","353.579246302842","348.868697460835","345.388341539551","329.263471040714","314.547872178907","329.170038666988","334.519042062787","337.937109734921","342.196068770587","341.573186279082"
"6","Nordrhein-Westfalen",2020-12-11,"326.726285190421","323.936673346424","316.44169212701","311.949184699528","309.30521524096","303.389893740436","300.852355255836","301.586168813193","303.373088849809","301.715006307996","301.244469370454","294.421683776099","305.736976797936","312.666193366258","316.755383418704","321.08544357013","326.776699862301","333.924380008768","339.783685207204","349.989855447692","356.79583615142","362.134189740435","367.13644551692","373.236620814336","379.174348835696"
"7","Campania",2020-11-09,"405.536867520716","433.270156361282","467.329186037453","500.509161810037","539.446078833554","582.261174843477","604.116867975756","632.711974368857","674.441180262585","714.894896178563","753.297486319508","797.956871891855","832.6191738548","852.251377701539","851.475741904258","864.213405330721","880.794775041488","896.186836529757","890.705676895637","889.171641652125","910.16551723187","910.992862082303","901.961014131739","892.412075649655","887.55142465336"
"8","Lombardia",2020-11-08,"439.46796673828","478.779839003222","535.57580313012","587.978379762427","652.994550807936","715.167941709887","771.148842998421","806.842631444289","854.364770837131","890.476030492892","937.163227465948","987.041097257473","1051.97774997729","1057.50427361302","1069.50160100209","1128.34516201561","1134.52771183831","1153.93018330763","1170.56939295909","1162.71695829681","1157.27989277749","1145.84913345899","1162.19014938909","1160.94767555012","1147.34010206575"
"9","Veneto",2020-12-13,"871.40791389226","859.401849300856","855.528925239112","852.022909772692","856.915024376999","857.730376811051","867.677676506476","867.881514614989","887.266518734557","882.517090806208","886.940377760936","896.418849806782","929.032947168831","959.099068174471","975.936095937629","991.937387455884","1013.03463168696","1029.76974039586","1040.02279725406","1044.6499223173","1053.31304192909","1053.98570768718","1052.70152760355","1071.65847169524","1064.32029978878"
"10","Moscow",2020-12-25,"771.126678265914","768.046135789817","762.785262982112","753.651000304998","752.304811501771","743.723890234573","744.293749298516","731.624708659554","729.568260733151","733.84633312623","750.405281288628","754.592506584556","766.757758775685","767.583641477052","774.669715054776","776.280186322441","779.41028176062","781.252000184667","781.88792986472","780.690399947738","772.183808123663","763.867169320902","735.688051550277","700.951425130801","681.171534433073"
"11","Moscow Oblast",2020-12-26,"253.388012969198","259.347079291336","263.433296197945","268.10123148362","272.04556585875","275.762888183512","279.565340027162","283.027273795261","285.978430450034","288.205986194262","290.589612723117","293.242816061784","296.165596210261","299.315388409105","301.656450178517","303.387417062566","305.586596300498","307.445257462879","307.672269513246","308.849894524526","309.559307181923","309.559307181923","305.685914072534","300.478825167237","294.193429022696"
"12","Saint Petersburg",2020-12-12,"752.467082351237","783.151215942376","812.25656542017","839.54166968493","865.173694113364","889.319804082179","912.537217513731","932.689932372318","947.82768592969","958.136217493299","964.451353946682","966.401616674932","968.110418303494","969.614906693859","970.85936005379","972.345274513409","973.608301804086","974.982772679234","976.301521762146","977.471679399096","977.991749459963","978.103193044434","978.307506282632","978.790428482008","978.567541313065"
"13","Kanagawa",2021-01-15,"60.8431405050003","62.2354826233494","64.7107575004144","67.73854909111","70.4458809878999","72.4791424940604","76.589866843472","82.3249903309575","86.5904193601856","90.5795900325985","96.2263108459031","99.928172827228","104.315155533455","108.757389911045","113.707939665175","118.459583402398","124.482015580971","125.752804022322","127.134095806398","127.708713188574","125.377092657053","120.095032874744","118.161224377037","114.359909387259","108.702138239682"
"14","Osaka",2021-01-09,"149.793930310978","148.482577744474","148.33270887973","144.998126639191","143.574372424129","141.813413263395","139.827650805545","139.940052454103","143.911577369801","148.070438366429","157.362307980517","169.276882727613","182.765080554515","195.803671787186","207.006369426752","219.370550768078","222.068190333458","230.648182840015","241.101536155864","252.56650430873","266.466841513676","274.372424128887","279.805170475834","284.713375796178","282.690146122143"
"15","Tokyo",2021-01-08,"69.2047978150547","70.9339697495021","72.2687691374966","75.2720677604842","77.2894350173395","81.1952400447097","82.0977464490923","82.6893052687717","84.6611680010363","88.3925390174754","93.815161531203","100.208547236199","112.032139542355","123.468943389489","133.472354712016","139.433447433401","145.030503958059","145.895089925283","149.603708679427","150.855083105672","160.092501597588","167.638668592216","173.523920439282","175.950828417454","175.662633095046"
"16","Karnataka",2020-10-08,"209.065264318521","208.476378333292","207.848113953913","220.184290884618","210.577752639247","209.022306070358","210.282414683129","210.581332493261","213.305601397575","216.803118768817","216.287619790865","221.691409424324","228.761621101091","234.120662559381","238.162317740683","241.215933214244","241.180134674108","242.458142556947","238.409327667618","239.141407813389","236.290054091594","234.050855406117","229.214472633806","223.606631321575","219.967709716798"
"17","Kerala",2020-10-11,"214.58216455131","219.371356683485","234.346941837253","245.680464681625","260.928605485191","270.54293115391","282.035195200912","288.420784710479","299.640493107682","315.304955178523","312.672247308491","320.97770683477","335.201517613819","340.898230206312","345.067433113121","349.290548126484","341.545175484955","340.508864992314","334.593508856576","338.133737186927","335.372239284572","335.312336943957","331.478587144592","324.778510346797","330.879563738442"
"18","Maharashtra",2020-09-12,"164.473713483345","167.462866426635","171.597312563736","175.395378881676","178.472631301413","182.972823749825","188.586273218795","200.073911011271","204.891795511113","213.52910377773","221.261390149937","228.904687151996","238.212085375832","243.371689057045","248.831186915658","238.284166765653","257.66872126511","262.947570702322","268.744338273798","270.913899118019","270.663838987902","268.240658438757","267.625741891031","266.076436956744","263.808987805359"
"19","Minas Gerais",2021-02-05,"469.990551103803","468.696833311787","468.701589627199","458.622957269548","458.970168294611","457.181793699766","442.34208961488","443.15066323489","432.23967568017","428.895985945659","423.388172698769","416.339313258448","422.146774376283","402.398552786397","360.195766137298","396.001308557496","383.173525891811","384.928606278774","375.767942795604","367.139986638559","365.018669964886","352.419190438969","346.074265679598","344.490412647461","336.60444169466"
"20","Santa Catarina",2021-01-08,"727.801814375436","733.370551290998","698.93928820656","703.251919050942","648.220516399163","619.972086531752","573.970690858339","546.950453593859","503.852058618283","490.969993021633","479.860432658758","484.27076064201","504.242847173761","537.725052337753","566.12700628053","567.062107466853","563.140265177948","559.511514305652","562.735519888346","568.80669923238","594.40334961619","611.55617585485","619.678995115143","620.781577110956","610.425680390789"
"21","Sao Paulo",2021-01-28,"1146.87966509609","1245.5257370821","1264.01161021235","1269.63703140036","1294.86519766252","1293.85508553679","1277.80005134326","1238.4713767894","1263.39568818446","1258.90356352776","1257.72920552792","1259.83976501014","1266.13038198827","1274.88468707794","1265.61300748485","1259.80691583532","1248.50679969706","1243.7518816418","1230.1523232661","1218.48265391111","1233.37975469222","1259.79870354162","1139.93206462155","1231.08031245478","1207.53566640218"
"22","Ciudad de Mexico",2021-01-17,"506.756610029334","494.932433899707","501.870586835273","507.885824278628","526.268129317616","569.25427559603","577.973112540098","577.734240295055","592.826623050042","605.736582111683","621.545581601799","666.334127547355","735.672225585736","762.067608662984","773.511760766406","804.141697278507","827.855196513681","853.642541149002","871.177935501019","881.786034746791","882.296352724837","886.357180890568","886.617768794251","887.518968627822","885.792573765921"
"23","Guanajuato",2021-01-22,"132.691544939511","131.118640154086","136.583268119944","139.712862177542","143.280275092939","150.852919781532","153.723065627101","169.598053100617","176.586939312144","174.884310420705","182.229937923772","194.780745180668","204.558699671506","207.526138596586","212.082697820343","218.422963501798","221.212031781109","223.433557096606","222.784936566534","221.795790258174","216.81762768987","207.428845517075","201.753415878944","201.218303941635","187.954014101659"
"24","Mexico",2021-01-17,"88.7336928740807","83.419558064073","83.0193795844711","83.560797527462","84.0139408058347","87.8568312055412","90.5050711440832","88.3805942156084","86.8740399394601","88.8455074492636","90.4226814571063","99.5914766221029","113.391749190727","117.21698465751","118.900088262895","124.24953293875","129.451853173574","134.760103005941","141.757341421333","147.053821298417","146.471208511938","147.55992937556","150.743702279452","151.76180341138","155.310444929027"
"25","California",2020-12-17,"579.664392099766","609.893368247733","656.501431538792","684.284673087104","711.258571231186","757.871692918521","828.168225972118","879.629820490415","919.252238523719","963.90017325766","981.215063711892","1044.56388947981","1153.12213196835","1212.11314934412","1272.40923295921","1299.04168935463","1329.9788409813","1370.47889076856","1391.32960022002","1421.04261994779","1414.86125969799","1363.31873083927","1438.94934276637","1445.70483099354","1491.62495239101"
"26","Florida",2021-01-08,"677.958255157665","670.761470352278","669.594920677378","681.829914118062","692.530940663405","711.103881156696","723.775182546653","742.504275358631","752.617434351269","753.724278727847","776.674076859641","806.062861779663","836.691679818672","887.252882066604","919.048249780514","941.653594268144","957.167786401264","970.123836137064","970.670369252469","954.724461885332","959.849932110483","943.127855865164","945.378286340365","930.433590898929","904.645494739228"
"27","Texas",2021-01-06,"738.838543410777","696.011274394428","668.167415774713","736.139689411656","730.367140580204","744.444117689254","745.251729302627","746.338767718939","722.584081825164","736.098797684397","756.227750427838","760.45322891131","798.605210444333","791.633170946605","846.680251125639","911.929817255893","959.456227263135","916.639181178601","962.270941156157","959.844698672099","973.822854106939","1008.16168207302","1063.06564120665","1061.41634154052","1057.13634075403"
